shade_id,brand,product,shade_name,hex,undertone,depth,source,source_url
PUBLIC-05997,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,89WY,#D19C6F,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05998,Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,90,#5C3628,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05999,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Ivoire N,#FEF3ED,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06000,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,Ivoire N,#F1E6D9,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06001,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,90N,#CCA07A,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06002,Bite Beauty,Changemaker Supercharged Micellar Foundation,M90,#CC9D7D,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06003,Natasha Denona,Foundation X+,N Dark,#CCA681,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06004,Natasha Denona,Face Glow Foundation,DW,#916532,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-06005,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,91NY,#D1A177,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06006,Natasha Denona,Foundation X+,91Ny,#9D826B,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06007,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,92W,#A86F44,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06008,Natasha Denona,Foundation X+,WNDeep,#C69981,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06009,Clinique,Even Better Refresh™ Hydrating and Repairing Foundation,CLINIQUE Even Better Refresh™ Hydrating and Repairing Foundation,#D78F62,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06010,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,93R,#A27251,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06011,Natasha Denona,Foundation X+,93R,#A97F6F,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06012,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,94N,#A76846,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06013,Natasha Denona,Foundation X+,NDeep,#AD836C,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06014,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,Ivoire W,#DDC7AE,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-06015,Natasha Denona,Face Glow Foundation,DY,#614B3E,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-06016,Natasha Denona,Transformatte Pore Vanishing Matte Foundation,96NR,#996354,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-06017,Natasha Denona,Foundation X+,96Nr,#82665E,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-06018,Anastasia Beverly Hills,Luminous Foundation,100N,#F1E7DB,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06019,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Ivoire N,#E3B999,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-06020,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,100,#F9E6DF,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06021,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,100,#FFDEC3,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06022,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,100W,#F4DEC4,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06023,FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,100,#FDDDC2,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06024,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,100B,#FFE3D0,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-06025,Bite Beauty,Changemaker Supercharged Micellar Foundation,T100,#CA977C,unknown,medium,Public Sephora-style foundation swatch dataset,
